ipaddress,plzaid,plazaname,jboss-status,backup-status,check-obu-status
10.201.1.17,201,AS1,NONE,NONE,NONE
10.202.1.17,202,AS2,NONE,NONE,NONE
10.203.1.17,203,PY1,NONE,NONE,NONE
10.204.1.17,204,PY2,NONE,NONE,NONE
10.205.1.17,205,KP1,NONE,NONE,NONE
10.206.1.17,206,KP2,NONE,NONE,NONE
10.207.1.17,207,YP,NONE,NONE,NONE
10.208.1.17,208,BS,NONE,NONE,NONE
10.209.1.17,209,RC,NONE,NONE,NONE
10.210.1.17,210,PCN,NONE,NONE,NONE
10.211.1.17,211,PCS,NONE,NONE,NONE
10.213.1.17,213,PC1,NONE,NONE,NONE
10.214.1.17,214,PC2,NONE,NONE,NONE
10.216.1.17,216,NGW1,NONE,NONE,NONE
10.217.1.17,217,NGW2,NONE,NONE,NONE
10.218.1.17,218,BS2,NONE,NONE,NONE
10.221.1.17,221,S3,NONE,NONE,NONE
10.222.1.17,222,CH,NONE,NONE,NONE
10.223.1.17,223,ST,NONE,NONE,NONE
10.224.1.17,224,SW,NONE,NONE,NONE
10.225.1.17,225,SB,NONE,NONE,NONE
10.226.1.17,226,HL,NONE,NONE,NONE
10.227.1.17,227,UP,NONE,NONE,NONE
10.228.1.17,228,YR,NONE,NONE,NONE
10.229.1.17,229,RM3,NONE,NONE,NONE
10.241.1.17,241,AS4,NONE,NONE,NONE
10.242.1.17,242,AS3,NONE,NONE,NONE
10.243.1.17,243,RM9,NONE,NONE,NONE
10.244.1.17,244,RAM,NONE,NONE,NONE
10.245.1.17,245,SNR,NONE,NONE,NONE
10.246.1.17,246,RM9-1,NONE,NONE,NONE
10.247.1.17,247,AS3,NONE,NONE,NONE
10.151.1.17,501,MTT1,NONE,NONE,NONE
10.152.1.17,502,MTT2,NONE,NONE,NONE
10.153.1.17,503,SRI1,NONE,NONE,NONE
10.154.1.17,504,SRI2,NONE,NONE,NONE
10.155.1.17,505,BP1,NONE,NONE,NONE
10.156.1.17,506,BP2,NONE,NONE,NONE
10.157.1.17,507,CR1,NONE,NONE,NONE
10.158.1.17,508,CR2,NONE,NONE,NONE
10.159.1.17,509,BI1,NONE,NONE,NONE
10.160.1.17,610,BI2,NONE,NONE,NONE
10.250.3.36,360,TEST-Server,NONE,NONE,NONE
